	Basal	Her2	LumA	LumB	Normal
ACTR3B	0.71833189105221	-0.481665674726704	0.0099810704381048	-0.190551327982217	20
ANLN	0.537372300595531	0.26693160932886	-0.57924571615828	0.0988041789187431	20
BAG1	-0.574506867003171	-0.476072868053812	0.758221161127353	-0.405458622327578	20
BCL2	-0.118760430362242	-0.157913959232179	0.287487439627067	-0.44133949784535	20
BIRC5	0.300488641307438	0.405733099101299	-0.881434366334594	0.603850776734403	20
BLVRA	-0.642677513396256	0.335336040994047	0.0420420167875037	0.691204961687021	20
CCNB1	0.191208143233350	0.135476651890144	-0.491662113750233	0.503176357566503	20
CCNE1	0.5602710279181	0.0668722320900592	-0.430291227412725	-0.016661429525915	20
CDC20	0.399695241707236	0.00835552010412316	-0.469044010265104	-0.0704124657384466	20
CDC6	0.159418279239843	0.589006820321944	-0.61282430546711	0.510895969130001	20
CDCA1	0.472400167554248	-0.0238192070320764	-0.712520818851019	0.589626882663298	20
CDH3	0.508362012467715	0.210889691612697	-0.513649344383634	-1.41913443744317	20
CENPF	0.482976287851816	-0.0292661598656275	-0.54374023405061	0.278228556393300	20
CEP55	0.567748893765426	0.276381021673186	-0.746721735125358	0.460015762468336	20
CXXC5	-0.92038581344894	-0.241550612126531	0.467411570831134	0.321335019875456	20
EGFR	-0.0304168492933523	-0.0963826205261192	0.00916296285683097	-0.412401259011741	20
ERBB2	-0.808353979685898	1.75984423053252	0.608191264034737	0.159651873930408	20
ESR1	-2.74651308572764	-1.51311125337343	2.16141188167927	1.60589991409782	20
EXO1	0.42809035571695	0.0492971938541269	-0.567474505364458	0.141241281899209	20
FGFR4	-0.271238025272568	0.821778152444019	0.170811924512710	-0.247036037777853	20
FOXA1	-2.62694672123675	0.0228271511969584	1.0174574205457	0.360757794789733	20
FOXC1	1.49045147226633	-0.947174191636912	-0.174957960004945	-1.56485496402643	20
GPR160	-1.05497467201534	0.583194826166968	0.685489972807875	0.714407601174597	20
GRB7	-0.276128585792610	1.03065778049362	0.0415689860888212	0.0877508871181497	20
KIF2C	0.203572580112815	-0.165102048401172	-0.505394668119272	-0.18289071282855	20
KNTC2	0.600356166736404	0.0425467918407693	-0.58822098932071	0.386706843524287	20
KRT14	0.0968267225951578	-0.443646142118489	0.368375943286720	-0.639446965945955	20
KRT17	0.482565528200505	-0.337837101113602	0.0142098620606827	-1.46374293365444	20
KRT5	0.506640416426025	-0.42826177758168	0.215320067973960	-0.911607270494262	20
MAPT	-0.42582927334418	-0.357506541134998	0.700622717588887	-0.19034057442467	20
MDM2	-0.251366205388229	-0.106728680574222	0.141957430453390	-0.133779036556646	20
MELK	0.523033872432266	0.198013114679137	-0.58208810796246	0.447934629706117	20
MIA	1.57827636824347	-0.90489862111629	-0.165258584299697	-1.42292626721177	20
MKI67	0.476537447819512	0.065662359566943	-0.501871622444359	-0.145217867594777	20
MLPH	-0.339972458833524	-0.195228657981430	0.339304417889105	-0.456149914938842	20
MMP11	-0.556037671980059	0.5067587600346	-0.00625509011475386	0.33419930855919	20
MYBL2	0.389893451959192	0.205263580428381	-0.84356993132705	0.467281990134531	20
MYC	0.178763812453212	-1.04683283160474	-0.090830821420967	0.0152643973204342	20
NAT1	-0.936848945968056	-0.0899884918164858	2.92278679191125	0.470788041948480	20
ORC6L	0.216304796525868	0.204402449297876	-0.352220666898442	0.110627650250106	20
PGR	-0.429133388609156	-0.279409915717406	0.445785002691586	-0.448839843849832	20
PHGDH	0.634518869785175	-0.186625862203220	-0.398682233972277	-1.03013931821750	20
PTTG1	0.264131894483995	0.055809894817994	-0.634468270258443	0.249725280730980	20
RRM2	0.156204675747248	0.68272488919714	-0.950760200359295	0.350663839755693	20
SFRP1	0.98798845910263	-1.04820266695367	0.131566363888596	-1.72045826151304	20
SLC39A6	-1.05112505157325	-0.695736456552694	2.06145907498356	1.65330302214459	20
TMEM45B	-1.10945818050443	1.33063617180581	0.446242044594737	0.375688226418575	20
TYMS	0.449800897311564	0.05294489694821	-0.644602075052837	0.492606521200551	20
UBE2C	0.218534146535747	0.0610805976997803	-0.519818399226962	0.292799305558851	20
UBE2T	0.389908898288675	0.28453681332228	-0.539259390713988	0.738952133209629	0
